thread_key,target_name,target_status,target_match_kind,target_match_basis,target_candidate_content_count,target_image_id,target_source_ephysFN,target_source_relpath,target_asset,target_asset_sha256
Alfa-02022021-005#thread000,Grapes_sq,resolved,normalized exact,validated repeat-source session,1,69b002237f62cdec4057f3c1,Alfa-02022021-002,2020-CosineEvol/2021-02-02-Alfa-refRepr/Grapes_sq.jpg,/targets/69b002237f62cdec4057f3c1.webp,f1f6916eab7fcd7db33168961cfaa21a6a3ab8de00e0894a78ba944ef31d79e8
Alfa-02022021-006#thread000,Grapes_sq,resolved,normalized exact,validated repeat-source session,1,69b002237f62cdec4057f3c1,Alfa-02022021-002,2020-CosineEvol/2021-02-02-Alfa-refRepr/Grapes_sq.jpg,/targets/69b002237f62cdec4057f3c1.webp,f1f6916eab7fcd7db33168961cfaa21a6a3ab8de00e0894a78ba944ef31d79e8
Alfa-02022021-007#thread000,objects-familiar-11,resolved,normalized exact,validated repeat-source session,1,3eef88b62bfcf0c64c7faed1,Alfa-02022021-002,2020-CosineEvol/2021-02-02-Alfa-refRepr/objects-familiar-11.bmp,/targets/3eef88b62bfcf0c64c7faed1.webp,701519d3ab7eeb76d0a90339f5f9eee2c408ab390b016b40dd58a37da6ca48d6
Alfa-04022021-006#thread000,objects-familiar-11,resolved,normalized exact,validated repeat-source session,1,9fa871a20692a85d06417708,Alfa-04022021-003,2020-CosineEvol/2021-02-04-Alfa-refRepr/objects-familiar-11.bmp,/targets/9fa871a20692a85d06417708.webp,701519d3ab7eeb76d0a90339f5f9eee2c408ab390b016b40dd58a37da6ca48d6
Alfa-04022021-008#thread000,objects-familiar-11,resolved,normalized exact,validated repeat-source session,1,9fa871a20692a85d06417708,Alfa-04022021-003,2020-CosineEvol/2021-02-04-Alfa-refRepr/objects-familiar-11.bmp,/targets/9fa871a20692a85d06417708.webp,701519d3ab7eeb76d0a90339f5f9eee2c408ab390b016b40dd58a37da6ca48d6
Alfa-04022021-009#thread000,objects-familiar-11,resolved,normalized exact,validated repeat-source session,1,9fa871a20692a85d06417708,Alfa-04022021-003,2020-CosineEvol/2021-02-04-Alfa-refRepr/objects-familiar-11.bmp,/targets/9fa871a20692a85d06417708.webp,701519d3ab7eeb76d0a90339f5f9eee2c408ab390b016b40dd58a37da6ca48d6
Alfa-05022021-003#thread000,objects-familiar-11,resolved,normalized exact,validated repeat-source session,1,007b41a6d684754cfbd8f570,Alfa-05022021-002,2020-CosineEvol/2021-02-05-Alfa-refRepr/objects-familiar-11.bmp,/targets/007b41a6d684754cfbd8f570.webp,701519d3ab7eeb76d0a90339f5f9eee2c408ab390b016b40dd58a37da6ca48d6
Alfa-05022021-004#thread000,n03530642_1271,resolved,normalized exact,validated repeat-source session,1,dfc7fd138a26f75f2d264dc5,Alfa-05022021-002,2020-CosineEvol/2021-02-05-Alfa-refRepr/n03530642_1271.bmp,/targets/dfc7fd138a26f75f2d264dc5.webp,6d806ab5a5ec60716afc2980fd962c1614a4f6fcbd69d1389457ac9d032f2fb7
Alfa-05022021-005#thread000,Blue-GrayGnatcatcher_sq,resolved,normalized exact,validated repeat-source session,1,3ba809fb1ba988c38df79cf6,Alfa-05022021-002,2020-CosineEvol/2021-02-05-Alfa-refRepr/Blue-GrayGnatcatcher_sq.jpg,/targets/3ba809fb1ba988c38df79cf6.webp,8cf41e1522a2c4454c462c110456efd34568a4fe15c9d5620859333bd51e7261
Alfa-09022021-003#thread000,Blue-GrayGnatcatcher_sq,resolved,normalized exact,validated repeat-source session,1,a8e640e0d71b9913d80e5e68,Alfa-09022021-002,2020-CosineEvol/2021-02-09-Alfa-refRepr/Blue-GrayGnatcatcher_sq.jpg,/targets/a8e640e0d71b9913d80e5e68.webp,8cf41e1522a2c4454c462c110456efd34568a4fe15c9d5620859333bd51e7261
